shot,start_s,duration_s,frames,size,lens_mm,height,camera_move,expression,source,reuse_of,entities,claims,narration,motion,gate
01-01,0.0,2.6,78,WIDE,24,eye,locked,"still, before anything",generate,,SABHA,,,motion,clear
01-02,2.6,1.8,54,WIDE,35,eye,locked,the room notices,generate,,VISHVAMITRA SABHA,,L1,motion,refused
01-03,4.4,1.6,48,WIDE,24,eye,locked,curiosity,generate,,COURT SABHA,,,motion,refused
01-04,6.0,2.2,66,MS,85,eye,locked,"warmth, recognition",generate,,DASHARATHA,,,motion,refused
01-05,8.2,2.0,60,MS,50,eye,locked,"open, unguarded",generate,,DASHARATHA SABHA,,,motion,refused
01-06,10.2,2.2,66,INSERT,100,low,locked,"honouring, at ease",generate,,DASHARATHA VISHVAMITRA,,,motion,refused
01-07,12.4,2.4,72,MS,50,eye,locked,"open face, open hands",generate,,DASHARATHA VISHVAMITRA,,L2,motion,refused
01-08,14.8,1.7,51,MS,85,eye,locked,"patient, unreadable",generate,,VISHVAMITRA,,,motion,refused
01-09,16.5,2.2,66,MS,85,eye,locked,"generous, unthinking",generate,,DASHARATHA,CLM-0001,,motion,refused
01-10,18.7,1.3,39,WIDE,35,eye,locked,the only flicker of unease in the film,generate,,COURT VASISHTHA SABHA,,,motion,refused
01-11,20.0,2.4,72,MS,85,eye,locked,"certainty, and no idea what it costs",generate,,DASHARATHA,CLM-0001,L3,motion,refused
01-12,22.4,1.1,33,INSERT,100,eye,locked,still receiving,generate,,VISHVAMITRA,,,motion,refused
01-13,23.5,2.0,60,MS,85,eye,locked,"relief, almost pleasure",generate,,DASHARATHA,,L4,motion,refused
01-14,25.5,1.6,48,MS,85,eye,locked,the turn beginning,generate,,VISHVAMITRA,,L5,motion,refused
01-15,27.1,1.0,30,MS,85,eye,locked,unguarded,reuse,01-13,DASHARATHA,,,NO MOTION,refused
01-16,28.1,4.0,120,MS,85,eye,locked,composed; the film ends mid-sentence,reuse,01-14,VISHVAMITRA,,,NO MOTION,refused
